Unnamed: 0;Age;Sexe;Profession;Type_logement;Compte_epargne;Compte_courant;Credit_amount;Duration;Purpose;Risk
0;67;homme;2;propriétaire;;moins de 500;1169;6;radio/TV;good
1;22;femme;2;propriétaire;moins de 3000;entre 500 et 3000;5951;48;radio/TV;bad
2;49;homme;0;propriétaire;moins de 3000;;2096;12;education;good
3;45;homme;2;gratuit;moins de 3000;moins de 500;7882;42;furniture/equipment;good
4;53;homme;2;gratuit;moins de 3000;moins de 500;4870;24;car;bad
5;35;homme;0;gratuit;;;9055;36;education;good
6;53;homme;2;propriétaire;plus de 30000;;2835;24;furniture/equipment;good
7;35;homme;3;location;moins de 3000;entre 500 et 3000;6948;36;car;good
8;61;homme;0;propriétaire;entre 10000 et 30000;;3059;12;radio/TV;good
9;28;homme;3;propriétaire;moins de 3000;entre 500 et 3000;5234;30;car;bad
10;25;femme;2;location;moins de 3000;entre 500 et 3000;1295;12;car;bad
11;24;femme;2;location;moins de 3000;moins de 500;4308;48;business;bad
12;22;femme;2;propriétaire;moins de 3000;entre 500 et 3000;1567;12;radio/TV;good
13;60;homme;0;propriétaire;moins de 3000;moins de 500;1199;24;car;bad
14;28;femme;2;location;moins de 3000;moins de 500;1403;15;car;good
15;32;femme;0;propriétaire;entre 3000 et 10000;moins de 500;1282;24;radio/TV;bad
16;53;homme;2;propriétaire;;;2424;24;radio/TV;good
17;25;homme;2;propriétaire;;moins de 500;8072;30;business;good
18;44;femme;3;gratuit;moins de 3000;entre 500 et 3000;12579;24;car;bad
19;31;homme;2;propriétaire;plus de 30000;;3430;24;radio/TV;good
20;48;homme;2;propriétaire;moins de 3000;;2134;9;car;good
21;44;homme;2;location;plus de 30000;moins de 500;2647;6;radio/TV;good
22;48;homme;0;location;moins de 3000;moins de 500;2241;10;car;good
23;44;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;1804;12;car;good
24;26;homme;2;propriétaire;;;2069;10;furniture/equipment;good
25;36;homme;0;propriétaire;moins de 3000;moins de 500;1374;6;furniture/equipment;good
26;39;homme;0;propriétaire;moins de 3000;;426;6;radio/TV;good
27;42;femme;2;location;entre 10000 et 30000;plus de 3000;409;12;radio/TV;good
28;34;homme;2;propriétaire;moins de 3000;entre 500 et 3000;2415;7;radio/TV;good
29;63;homme;2;propriétaire;moins de 3000;moins de 500;6836;60;business;bad
30;36;homme;2;propriétaire;entre 10000 et 30000;entre 500 et 3000;1913;18;business;good
31;27;homme;2;propriétaire;moins de 3000;moins de 500;4020;24;furniture/equipment;good
32;30;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;5866;18;car;good
33;57;homme;0;location;;;1264;12;business;good
34;33;femme;3;propriétaire;moins de 3000;plus de 3000;1474;12;furniture/equipment;good
35;25;homme;0;propriétaire;moins de 3000;entre 500 et 3000;4746;45;radio/TV;bad
36;31;homme;2;gratuit;moins de 3000;;6110;48;education;good
37;37;homme;2;propriétaire;moins de 3000;plus de 3000;2100;18;radio/TV;bad
38;37;homme;2;propriétaire;moins de 3000;plus de 3000;1225;10;domestic appliances;good
39;24;homme;2;propriétaire;moins de 3000;entre 500 et 3000;458;9;radio/TV;good
40;30;homme;3;propriétaire;plus de 30000;;2333;30;radio/TV;good
41;26;homme;2;propriétaire;plus de 30000;entre 500 et 3000;1158;12;radio/TV;good
42;44;homme;0;propriétaire;moins de 3000;entre 500 et 3000;6204;18;repairs;good
43;24;homme;2;location;entre 3000 et 10000;moins de 500;6187;30;car;good
44;58;femme;0;gratuit;moins de 3000;moins de 500;6143;48;car;bad
45;35;femme;3;propriétaire;moins de 3000;;1393;11;car;good
46;39;homme;2;propriétaire;plus de 30000;;2299;36;radio/TV;good
47;23;femme;0;location;plus de 30000;moins de 500;1352;6;car;good
48;39;homme;0;propriétaire;moins de 3000;;7228;11;car;good
49;28;femme;2;propriétaire;entre 3000 et 10000;;2073;12;radio/TV;good
50;29;homme;0;propriétaire;;entre 500 et 3000;2333;24;furniture/equipment;good
51;30;homme;3;propriétaire;moins de 3000;entre 500 et 3000;5965;27;car;good
52;25;homme;2;propriétaire;moins de 3000;;1262;12;radio/TV;good
53;31;homme;2;propriétaire;;;3378;18;car;good
54;57;homme;2;gratuit;moins de 3000;entre 500 et 3000;2225;36;car;bad
55;26;homme;0;propriétaire;;;783;6;car;good
56;52;homme;3;propriétaire;;entre 500 et 3000;6468;12;radio/TV;bad
57;31;femme;2;propriétaire;moins de 3000;;9566;36;radio/TV;good
58;23;femme;3;propriétaire;moins de 3000;plus de 3000;1961;18;car;good
59;23;femme;0;location;moins de 3000;moins de 500;6229;36;furniture/equipment;bad
60;27;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1391;9;business;good
61;50;homme;2;propriétaire;;entre 500 et 3000;1537;15;radio/TV;good
62;61;homme;3;gratuit;moins de 3000;entre 500 et 3000;1953;36;business;bad
63;25;homme;2;propriétaire;moins de 3000;entre 500 et 3000;14421;48;business;bad
64;26;femme;2;propriétaire;moins de 3000;;3181;24;radio/TV;good
65;48;homme;2;propriétaire;;;5190;27;repairs;good
66;29;femme;2;propriétaire;moins de 3000;;2171;12;radio/TV;good
67;22;homme;2;propriétaire;entre 10000 et 30000;entre 500 et 3000;1007;12;car;good
68;37;homme;2;gratuit;moins de 3000;;1819;36;education;bad
69;25;femme;2;propriétaire;;;2394;36;radio/TV;good
70;30;femme;2;propriétaire;moins de 3000;;8133;36;car;good
71;46;homme;0;location;;;730;7;radio/TV;good
72;51;homme;3;gratuit;moins de 3000;moins de 500;1164;8;vacation/others;good
73;41;femme;0;propriétaire;moins de 3000;entre 500 et 3000;5954;42;business;good
74;40;homme;3;propriétaire;;moins de 500;1977;36;education;bad
75;66;homme;3;gratuit;moins de 3000;moins de 500;1526;12;car;good
76;34;homme;2;propriétaire;moins de 3000;moins de 500;3965;42;radio/TV;bad
77;51;homme;2;propriétaire;moins de 3000;entre 500 et 3000;4771;11;radio/TV;good
78;39;homme;0;propriétaire;;;9436;54;car;good
79;22;homme;2;propriétaire;moins de 3000;entre 500 et 3000;3832;30;furniture/equipment;good
80;44;femme;2;propriétaire;;;5943;24;radio/TV;bad
81;47;homme;2;propriétaire;plus de 30000;;1213;15;radio/TV;good
82;24;femme;0;location;entre 3000 et 10000;;1568;18;business;good
83;58;femme;0;propriétaire;moins de 3000;moins de 500;1755;24;vacation/others;good
84;52;homme;0;propriétaire;moins de 3000;moins de 500;2315;10;radio/TV;good
85;29;femme;3;propriétaire;moins de 3000;;1412;12;business;good
86;27;femme;2;propriétaire;moins de 3000;entre 500 et 3000;1295;18;furniture/equipment;good
87;47;homme;2;gratuit;entre 3000 et 10000;entre 500 et 3000;12612;36;education;bad
88;30;homme;3;propriétaire;entre 3000 et 10000;moins de 500;2249;18;car;good
89;28;homme;2;propriétaire;moins de 3000;moins de 500;1108;12;repairs;bad
90;56;homme;2;propriétaire;moins de 3000;;618;12;radio/TV;good
91;54;homme;2;propriétaire;moins de 3000;moins de 500;1409;12;car;good
92;33;femme;0;propriétaire;;;797;12;radio/TV;bad
93;20;homme;2;location;;plus de 3000;3617;24;furniture/equipment;good
94;54;homme;2;propriétaire;entre 10000 et 30000;entre 500 et 3000;1318;12;car;good
95;58;homme;2;location;moins de 3000;entre 500 et 3000;15945;54;business;bad
96;61;femme;2;propriétaire;;;2012;12;education;good
97;34;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;2622;18;business;good
98;36;homme;2;propriétaire;moins de 3000;entre 500 et 3000;2337;36;radio/TV;good
99;36;homme;3;location;;entre 500 et 3000;7057;20;car;good
100;41;homme;0;location;entre 3000 et 10000;;1469;24;car;good
101;24;homme;2;location;moins de 3000;entre 500 et 3000;2323;36;radio/TV;good
102;24;femme;2;propriétaire;moins de 3000;;932;6;radio/TV;good
103;35;homme;2;location;moins de 3000;entre 500 et 3000;1919;9;furniture/equipment;good
104;26;homme;2;location;;;2445;12;car;good
105;39;homme;3;propriétaire;moins de 3000;entre 500 et 3000;11938;24;vacation/others;bad
106;39;homme;3;propriétaire;moins de 3000;;6458;18;car;bad
107;32;homme;2;propriétaire;moins de 3000;entre 500 et 3000;6078;12;car;good
108;30;femme;2;propriétaire;;moins de 500;7721;24;furniture/equipment;good
109;35;homme;2;propriétaire;plus de 30000;entre 500 et 3000;1410;14;business;good
110;31;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;1449;6;business;good
111;23;femme;2;location;moins de 3000;plus de 3000;392;15;education;good
112;28;homme;0;location;moins de 3000;entre 500 et 3000;6260;18;car;good
113;25;femme;2;propriétaire;moins de 3000;;7855;36;car;bad
114;35;homme;2;propriétaire;plus de 30000;moins de 500;1680;12;radio/TV;good
115;47;homme;2;propriétaire;;;3578;48;radio/TV;good
116;30;femme;3;propriétaire;;moins de 500;7174;42;radio/TV;bad
117;27;femme;2;location;;moins de 500;2132;10;furniture/equipment;good
118;23;femme;2;propriétaire;plus de 30000;moins de 500;4281;33;furniture/equipment;bad
119;36;homme;3;propriétaire;plus de 30000;entre 500 et 3000;2366;12;car;good
120;25;femme;2;propriétaire;moins de 3000;moins de 500;1835;21;radio/TV;bad
121;41;femme;3;location;moins de 3000;;3868;24;car;good
122;24;homme;0;location;moins de 3000;;1768;12;furniture/equipment;good
123;63;homme;2;gratuit;moins de 3000;plus de 3000;781;10;car;good
124;27;femme;2;location;;entre 500 et 3000;1924;18;furniture/equipment;bad
125;30;homme;2;propriétaire;moins de 3000;moins de 500;2121;12;car;good
126;40;homme;0;propriétaire;moins de 3000;moins de 500;701;12;radio/TV;good
127;30;homme;2;propriétaire;moins de 3000;entre 500 et 3000;639;12;repairs;bad
128;34;homme;3;propriétaire;moins de 3000;entre 500 et 3000;1860;12;car;good
129;29;femme;2;propriétaire;moins de 3000;moins de 500;3499;12;car;bad
130;24;femme;2;propriétaire;;entre 500 et 3000;8487;48;car;good
131;29;homme;2;propriétaire;moins de 3000;moins de 500;6887;36;education;bad
132;27;homme;0;propriétaire;moins de 3000;;2708;15;furniture/equipment;good
133;47;homme;2;gratuit;moins de 3000;;1984;18;furniture/equipment;good
134;21;femme;2;propriétaire;entre 3000 et 10000;;10144;60;radio/TV;good
135;38;femme;2;propriétaire;;;1240;12;radio/TV;good
136;27;homme;2;propriétaire;entre 10000 et 30000;;8613;27;car;good
137;66;homme;0;propriétaire;plus de 30000;entre 500 et 3000;766;12;radio/TV;bad
138;35;homme;2;propriétaire;;entre 500 et 3000;2728;15;radio/TV;good
139;44;femme;0;location;moins de 3000;plus de 3000;1881;12;radio/TV;good
140;27;homme;0;propriétaire;entre 10000 et 30000;plus de 3000;709;6;car;good
141;30;femme;3;propriétaire;moins de 3000;entre 500 et 3000;4795;36;radio/TV;good
142;27;homme;3;propriétaire;moins de 3000;moins de 500;3416;27;radio/TV;good
143;22;homme;2;propriétaire;moins de 3000;moins de 500;2462;18;furniture/equipment;bad
144;23;femme;2;propriétaire;moins de 3000;;2288;21;furniture/equipment;good
145;30;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;3566;48;business;good
146;39;femme;2;propriétaire;moins de 3000;moins de 500;860;6;car;good
147;51;femme;2;propriétaire;entre 3000 et 10000;;682;12;car;good
148;28;homme;2;propriétaire;moins de 3000;moins de 500;5371;36;furniture/equipment;good
149;46;homme;2;propriétaire;entre 10000 et 30000;;1582;18;radio/TV;good
150;42;homme;2;gratuit;entre 3000 et 10000;;1346;6;radio/TV;good
151;38;homme;2;propriétaire;moins de 3000;;1924;10;radio/TV;good
152;24;homme;2;propriétaire;moins de 3000;plus de 3000;5848;36;radio/TV;good
153;29;femme;2;location;entre 10000 et 30000;entre 500 et 3000;7758;24;car;good
154;36;homme;3;location;entre 3000 et 10000;entre 500 et 3000;6967;24;business;good
155;20;femme;2;location;moins de 3000;moins de 500;1282;12;furniture/equipment;bad
156;48;homme;2;propriétaire;entre 3000 et 10000;moins de 500;1288;9;repairs;good
157;45;homme;0;propriétaire;moins de 3000;moins de 500;339;12;education;good
158;38;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;3512;24;car;good
159;34;homme;0;propriétaire;;;1898;6;radio/TV;good
160;36;homme;2;propriétaire;entre 3000 et 10000;;2872;24;radio/TV;good
161;30;femme;2;propriétaire;moins de 3000;;1055;18;car;good
162;36;homme;2;propriétaire;plus de 30000;;1262;15;domestic appliances;good
163;70;homme;3;gratuit;moins de 3000;entre 500 et 3000;7308;10;car;good
164;36;homme;2;propriétaire;plus de 30000;;909;36;car;good
165;32;homme;2;propriétaire;plus de 30000;;2978;6;furniture/equipment;good
166;33;femme;2;propriétaire;moins de 3000;moins de 500;1131;18;furniture/equipment;bad
167;20;femme;2;propriétaire;entre 10000 et 30000;entre 500 et 3000;1577;11;furniture/equipment;good
168;25;femme;2;location;moins de 3000;;3972;24;furniture/equipment;good
169;31;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1935;24;business;bad
170;33;homme;2;location;moins de 3000;moins de 500;950;15;car;bad
171;26;femme;2;propriétaire;moins de 3000;;763;12;furniture/equipment;good
172;34;femme;3;propriétaire;moins de 3000;entre 500 et 3000;2064;24;furniture/equipment;bad
173;33;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1414;8;radio/TV;good
174;26;homme;2;propriétaire;moins de 3000;moins de 500;3414;21;education;bad
175;53;femme;3;propriétaire;;;7485;30;car;bad
176;42;homme;2;propriétaire;moins de 3000;moins de 500;2577;12;furniture/equipment;good
177;52;homme;2;propriétaire;plus de 30000;moins de 500;338;6;radio/TV;good
178;31;homme;3;location;moins de 3000;;1963;12;radio/TV;good
179;65;homme;2;propriétaire;moins de 3000;moins de 500;571;21;car;good
180;28;homme;2;propriétaire;moins de 3000;;9572;36;business;bad
181;30;homme;3;propriétaire;moins de 3000;entre 500 et 3000;4455;36;business;bad
182;40;homme;0;propriétaire;;moins de 500;1647;21;car;bad
183;50;homme;2;propriétaire;entre 10000 et 30000;;3777;24;furniture/equipment;good
184;36;homme;2;propriétaire;moins de 3000;entre 500 et 3000;884;18;car;bad
185;31;homme;2;propriétaire;moins de 3000;;1360;15;radio/TV;good
186;74;femme;3;gratuit;moins de 3000;entre 500 et 3000;5129;9;car;bad
187;68;homme;0;gratuit;moins de 3000;entre 500 et 3000;1175;16;car;good
188;20;homme;2;propriétaire;entre 3000 et 10000;moins de 500;674;12;radio/TV;bad
189;33;femme;2;propriétaire;moins de 3000;entre 500 et 3000;3244;18;furniture/equipment;good
190;54;homme;3;propriétaire;entre 10000 et 30000;;4591;24;business;bad
191;34;homme;0;gratuit;entre 3000 et 10000;entre 500 et 3000;3844;48;business;bad
192;36;homme;2;propriétaire;moins de 3000;entre 500 et 3000;3915;27;business;bad
193;29;homme;2;location;moins de 3000;;2108;6;radio/TV;good
194;21;homme;2;location;entre 3000 et 10000;entre 500 et 3000;3031;45;radio/TV;bad
195;34;femme;3;propriétaire;moins de 3000;entre 500 et 3000;1501;9;education;bad
196;28;femme;2;propriétaire;moins de 3000;;1382;6;radio/TV;good
197;27;femme;2;location;entre 3000 et 10000;entre 500 et 3000;951;12;furniture/equipment;bad
198;36;homme;2;gratuit;;entre 500 et 3000;2760;24;car;good
199;40;homme;3;propriétaire;moins de 3000;entre 500 et 3000;4297;18;furniture/equipment;bad
200;52;homme;2;propriétaire;plus de 30000;;936;9;education;good
201;27;homme;0;propriétaire;moins de 3000;moins de 500;1168;12;car;good
202;26;homme;2;propriétaire;moins de 3000;;5117;27;business;good
203;21;homme;2;location;moins de 3000;moins de 500;902;12;education;bad
204;38;homme;0;propriétaire;moins de 3000;;1495;12;car;good
205;38;homme;3;gratuit;moins de 3000;moins de 500;10623;30;car;good
206;43;homme;2;propriétaire;moins de 3000;;1935;12;furniture/equipment;good
207;26;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1424;12;domestic appliances;good
208;21;homme;0;propriétaire;moins de 3000;moins de 500;6568;24;business;good
209;55;homme;2;propriétaire;entre 10000 et 30000;;1413;12;car;good
210;33;homme;2;propriétaire;;;3074;9;radio/TV;good
211;45;femme;0;propriétaire;;;3835;36;radio/TV;good
212;50;homme;2;propriétaire;moins de 3000;moins de 500;5293;27;business;bad
213;66;homme;3;propriétaire;moins de 3000;plus de 3000;1908;30;business;bad
214;51;homme;2;propriétaire;;;3342;36;radio/TV;good
215;39;femme;0;propriétaire;;entre 500 et 3000;932;6;education;good
216;31;homme;2;propriétaire;moins de 3000;moins de 500;3104;18;business;good
217;23;homme;2;propriétaire;moins de 3000;plus de 3000;3913;36;radio/TV;good
218;24;homme;0;location;moins de 3000;moins de 500;3021;24;furniture/equipment;good
219;64;femme;2;propriétaire;moins de 3000;;1364;10;car;good
220;26;homme;0;propriétaire;moins de 3000;entre 500 et 3000;625;12;radio/TV;good
221;23;femme;2;location;;moins de 500;1200;12;education;good
222;30;homme;2;propriétaire;moins de 3000;;707;12;radio/TV;good
223;32;homme;2;propriétaire;;;2978;24;business;good
224;30;homme;2;propriétaire;moins de 3000;;4657;15;car;good
225;27;homme;2;propriétaire;moins de 3000;;2613;36;repairs;good
226;27;homme;2;propriétaire;entre 10000 et 30000;entre 500 et 3000;10961;48;radio/TV;bad
227;53;homme;3;gratuit;moins de 3000;moins de 500;7865;12;furniture/equipment;bad
228;22;homme;2;propriétaire;moins de 3000;;1478;9;radio/TV;bad
229;22;homme;2;gratuit;moins de 3000;moins de 500;3149;24;furniture/equipment;good
230;26;homme;2;propriétaire;moins de 3000;plus de 3000;4210;36;radio/TV;bad
231;51;homme;0;gratuit;plus de 30000;;2507;9;car;good
232;35;homme;2;propriétaire;entre 3000 et 10000;;2141;12;radio/TV;good
233;25;homme;0;propriétaire;moins de 3000;entre 500 et 3000;866;18;radio/TV;good
234;42;homme;0;propriétaire;moins de 3000;;1544;4;radio/TV;good
235;30;homme;3;propriétaire;moins de 3000;moins de 500;1823;24;radio/TV;bad
236;23;homme;0;propriétaire;;entre 500 et 3000;14555;6;car;bad
237;61;homme;0;location;entre 3000 et 10000;entre 500 et 3000;2767;21;business;bad
238;35;femme;2;propriétaire;moins de 3000;;1291;12;radio/TV;good
239;39;homme;2;propriétaire;moins de 3000;moins de 500;2522;30;radio/TV;good
240;29;femme;2;propriétaire;;moins de 500;915;24;car;bad
241;51;homme;2;propriétaire;moins de 3000;;1595;6;radio/TV;good
242;24;homme;2;gratuit;moins de 3000;moins de 500;4605;48;car;bad
243;27;femme;2;propriétaire;moins de 3000;;1185;12;business;good
244;35;femme;0;propriétaire;plus de 30000;;3447;12;education;good
245;25;homme;2;propriétaire;moins de 3000;;1258;24;business;good
246;52;homme;2;propriétaire;moins de 3000;;717;12;radio/TV;good
247;35;homme;2;location;entre 3000 et 10000;;1204;6;car;good
248;26;homme;2;propriétaire;moins de 3000;plus de 3000;1925;24;furniture/equipment;good
249;22;femme;2;location;moins de 3000;;433;18;radio/TV;bad
250;39;femme;0;propriétaire;entre 10000 et 30000;moins de 500;666;6;car;good
251;46;femme;0;propriétaire;moins de 3000;plus de 3000;2251;12;furniture/equipment;good
252;24;femme;2;propriétaire;moins de 3000;entre 500 et 3000;2150;30;car;bad
253;35;homme;2;propriétaire;entre 3000 et 10000;;4151;24;furniture/equipment;good
254;24;homme;2;propriétaire;;entre 500 et 3000;2030;9;furniture/equipment;good
255;27;homme;0;propriétaire;;entre 500 et 3000;7418;60;radio/TV;good
256;35;homme;0;propriétaire;moins de 3000;;2684;24;radio/TV;good
257;29;homme;2;gratuit;moins de 3000;moins de 500;2149;12;radio/TV;bad
258;23;femme;2;propriétaire;entre 3000 et 10000;;3812;15;car;good
259;57;femme;0;propriétaire;entre 3000 et 10000;;1154;11;radio/TV;good
260;27;homme;2;propriétaire;moins de 3000;moins de 500;1657;12;furniture/equipment;good
261;55;femme;2;propriétaire;moins de 3000;moins de 500;1603;24;radio/TV;good
262;36;homme;3;gratuit;moins de 3000;moins de 500;5302;18;car;good
263;57;femme;0;gratuit;moins de 3000;;2748;12;education;good
264;32;homme;0;propriétaire;moins de 3000;;1231;10;car;good
265;37;homme;2;propriétaire;moins de 3000;entre 500 et 3000;802;15;radio/TV;bad
266;36;homme;2;propriétaire;;;6304;36;business;good
267;38;femme;2;propriétaire;moins de 3000;;1533;24;radio/TV;good
268;45;homme;3;propriétaire;moins de 3000;moins de 500;8978;14;car;bad
269;25;homme;2;propriétaire;;;999;24;radio/TV;good
270;32;homme;2;propriétaire;;;2662;18;car;good
271;37;femme;2;location;plus de 30000;;1402;12;furniture/equipment;good
272;36;homme;3;gratuit;;entre 500 et 3000;12169;48;car;good
273;28;homme;2;propriétaire;moins de 3000;entre 500 et 3000;3060;48;radio/TV;bad
274;34;homme;0;propriétaire;moins de 3000;moins de 500;11998;30;repairs;bad
275;32;homme;2;propriétaire;moins de 3000;;2697;9;radio/TV;good
276;26;femme;2;propriétaire;moins de 3000;;2404;18;radio/TV;good
277;49;homme;0;propriétaire;;moins de 500;1262;12;furniture/equipment;good
278;32;femme;2;propriétaire;moins de 3000;;4611;6;furniture/equipment;bad
279;29;homme;3;location;entre 3000 et 10000;;1901;24;radio/TV;good
280;23;homme;2;location;entre 10000 et 30000;;3368;15;car;good
281;50;homme;2;propriétaire;moins de 3000;;1574;12;furniture/equipment;good
282;49;homme;0;propriétaire;;plus de 3000;1445;18;radio/TV;good
283;63;homme;2;propriétaire;;;1520;15;furniture/equipment;good
284;37;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;3878;24;car;good
285;35;femme;0;propriétaire;moins de 3000;moins de 500;10722;47;car;good
286;26;homme;2;propriétaire;moins de 3000;moins de 500;4788;48;car;good
287;31;homme;3;gratuit;entre 3000 et 10000;entre 500 et 3000;7582;48;vacation/others;good
288;49;femme;2;propriétaire;moins de 3000;entre 500 et 3000;1092;12;radio/TV;good
289;48;homme;2;propriétaire;moins de 3000;moins de 500;1024;24;radio/TV;bad
290;26;homme;2;propriétaire;moins de 3000;;1076;12;business;good
291;28;homme;3;location;moins de 3000;entre 500 et 3000;9398;36;car;bad
292;44;femme;3;gratuit;moins de 3000;moins de 500;6419;24;car;good
293;56;homme;2;gratuit;moins de 3000;plus de 3000;4796;42;car;good
294;46;homme;3;propriétaire;;;7629;48;business;good
295;26;femme;2;propriétaire;moins de 3000;entre 500 et 3000;9960;48;furniture/equipment;bad
296;20;femme;2;location;;;4675;12;car;good
297;45;homme;0;propriétaire;;;1287;10;car;good
298;43;homme;2;propriétaire;moins de 3000;;2515;18;furniture/equipment;good
299;32;homme;2;propriétaire;entre 10000 et 30000;entre 500 et 3000;2745;21;furniture/equipment;good
300;54;femme;0;propriétaire;moins de 3000;;672;6;car;good
301;42;femme;2;propriétaire;moins de 3000;entre 500 et 3000;3804;36;radio/TV;bad
302;37;homme;0;propriétaire;;plus de 3000;1344;24;car;bad
303;49;homme;2;propriétaire;moins de 3000;moins de 500;1038;10;car;good
304;44;homme;2;gratuit;plus de 30000;;10127;48;car;bad
305;33;homme;2;propriétaire;entre 10000 et 30000;;1543;6;furniture/equipment;good
306;24;femme;0;location;;;4811;30;car;good
307;33;homme;0;propriétaire;entre 3000 et 10000;moins de 500;727;12;radio/TV;bad
308;24;femme;2;propriétaire;moins de 3000;entre 500 et 3000;1237;8;furniture/equipment;bad
309;22;homme;0;location;moins de 3000;entre 500 et 3000;276;9;car;good
310;40;homme;0;gratuit;;entre 500 et 3000;5381;48;vacation/others;good
311;25;homme;2;propriétaire;entre 3000 et 10000;;5511;24;furniture/equipment;good
312;26;femme;2;propriétaire;moins de 3000;plus de 3000;3749;24;furniture/equipment;good
313;25;homme;0;propriétaire;moins de 3000;entre 500 et 3000;685;12;car;bad
314;29;homme;0;propriétaire;;plus de 3000;1494;4;car;good
315;31;homme;2;propriétaire;moins de 3000;moins de 500;2746;36;furniture/equipment;bad
316;38;homme;0;propriétaire;moins de 3000;moins de 500;708;12;furniture/equipment;good
317;48;femme;0;propriétaire;;entre 500 et 3000;4351;24;furniture/equipment;good
318;32;homme;2;propriétaire;moins de 3000;;701;12;education;good
319;27;femme;0;propriétaire;moins de 3000;moins de 500;3643;15;furniture/equipment;good
320;28;homme;3;propriétaire;moins de 3000;entre 500 et 3000;4249;30;car;bad
321;32;homme;2;propriétaire;moins de 3000;moins de 500;1938;24;radio/TV;bad
322;34;homme;3;gratuit;moins de 3000;moins de 500;2910;24;car;good
323;28;homme;2;propriétaire;entre 10000 et 30000;moins de 500;2659;18;furniture/equipment;good
324;36;femme;2;propriétaire;moins de 3000;;1028;18;car;good
325;39;homme;0;propriétaire;moins de 3000;moins de 500;3398;8;car;good
326;49;homme;2;location;;;5801;12;furniture/equipment;good
327;34;femme;2;propriétaire;entre 10000 et 30000;;1525;24;car;good
328;31;homme;2;propriétaire;moins de 3000;plus de 3000;4473;36;radio/TV;good
329;28;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1068;6;radio/TV;good
