Unnamed: 0;Age;Sexe;Profession;Type_logement;Compte_epargne;Compte_courant;Credit_amount;Duration;Purpose;Risk
330;75;homme;3;gratuit;moins de 3000;moins de 500;6615;24;car;good
331;30;femme;2;propriétaire;entre 3000 et 10000;;1864;18;education;bad
332;24;femme;3;propriétaire;entre 3000 et 10000;entre 500 et 3000;7408;60;car;bad
333;24;femme;0;location;entre 3000 et 10000;;11590;48;car;bad
334;23;homme;2;location;moins de 3000;moins de 500;4110;24;furniture/equipment;bad
335;44;homme;3;location;moins de 3000;moins de 500;3384;6;furniture/equipment;bad
336;23;femme;0;propriétaire;moins de 3000;entre 500 et 3000;2101;13;radio/TV;good
337;24;femme;2;location;;moins de 500;1275;15;domestic appliances;bad
338;28;homme;2;propriétaire;moins de 3000;moins de 500;4169;24;furniture/equipment;good
339;31;homme;0;propriétaire;moins de 3000;entre 500 et 3000;1521;10;furniture/equipment;good
340;24;femme;2;gratuit;moins de 3000;entre 500 et 3000;5743;24;education;good
341;26;femme;0;location;moins de 3000;moins de 500;3599;21;furniture/equipment;good
342;25;homme;2;location;plus de 30000;entre 500 et 3000;3213;18;radio/TV;good
343;33;homme;3;propriétaire;moins de 3000;entre 500 et 3000;4439;18;business;good
344;37;homme;0;propriétaire;moins de 3000;plus de 3000;3949;10;car;good
345;43;femme;0;propriétaire;moins de 3000;;1459;15;radio/TV;good
346;23;homme;2;propriétaire;moins de 3000;entre 500 et 3000;882;13;radio/TV;good
347;23;femme;0;location;plus de 30000;entre 500 et 3000;3758;24;radio/TV;good
348;34;homme;0;propriétaire;entre 3000 et 10000;;1743;6;business;good
349;32;homme;2;gratuit;entre 10000 et 30000;entre 500 et 3000;1136;9;education;bad
350;23;femme;2;location;moins de 3000;;1236;9;domestic appliances;good
351;29;femme;2;propriétaire;moins de 3000;entre 500 et 3000;959;9;furniture/equipment;bad
352;38;homme;3;propriétaire;;;3229;18;car;good
353;28;homme;2;location;moins de 3000;moins de 500;6199;12;radio/TV;bad
354;46;homme;2;gratuit;plus de 30000;;727;10;education;good
355;23;homme;0;propriétaire;moins de 3000;entre 500 et 3000;1246;24;car;bad
356;49;homme;2;propriétaire;;;2331;12;radio/TV;good
357;26;homme;3;propriétaire;moins de 3000;;4463;36;radio/TV;bad
358;28;homme;2;propriétaire;moins de 3000;;776;12;radio/TV;good
359;23;femme;2;location;moins de 3000;moins de 500;2406;30;furniture/equipment;bad
360;61;homme;2;gratuit;;entre 500 et 3000;1239;18;education;good
361;37;homme;3;propriétaire;;plus de 3000;3399;12;radio/TV;good
362;36;femme;2;propriétaire;moins de 3000;plus de 3000;2247;12;car;good
363;21;homme;2;location;moins de 3000;;1766;6;furniture/equipment;good
364;25;homme;0;propriétaire;moins de 3000;moins de 500;2473;18;furniture/equipment;bad
365;36;homme;2;propriétaire;moins de 3000;;1542;12;business;good
366;27;homme;2;propriétaire;moins de 3000;;3850;18;car;good
367;22;femme;2;location;moins de 3000;moins de 500;3650;18;furniture/equipment;good
368;42;homme;2;propriétaire;moins de 3000;moins de 500;3446;36;furniture/equipment;bad
369;40;femme;2;location;moins de 3000;entre 500 et 3000;3001;18;furniture/equipment;good
370;36;homme;2;propriétaire;;;3079;36;car;good
371;33;homme;2;propriétaire;moins de 3000;;6070;18;radio/TV;good
372;23;femme;2;location;moins de 3000;;2146;10;furniture/equipment;good
373;63;homme;3;gratuit;;;13756;60;car;good
374;60;femme;3;gratuit;entre 3000 et 10000;entre 500 et 3000;14782;60;vacation/others;bad
375;37;femme;2;location;moins de 3000;moins de 500;7685;48;business;bad
376;34;homme;2;propriétaire;moins de 3000;;2320;18;radio/TV;good
377;36;homme;2;gratuit;;;846;7;radio/TV;good
378;57;homme;3;gratuit;moins de 3000;entre 500 et 3000;14318;36;car;bad
379;52;femme;0;propriétaire;entre 3000 et 10000;;362;6;car;good
380;39;homme;2;propriétaire;;moins de 500;2212;20;furniture/equipment;good
381;38;femme;3;gratuit;moins de 3000;entre 500 et 3000;12976;18;car;bad
382;25;femme;2;location;;;1283;22;car;good
383;26;homme;2;propriétaire;moins de 3000;plus de 3000;1330;12;car;good
384;26;homme;0;propriétaire;entre 3000 et 10000;;4272;30;business;good
385;25;femme;2;propriétaire;moins de 3000;;2238;18;radio/TV;good
386;21;femme;2;location;;;1126;18;radio/TV;good
387;40;homme;3;propriétaire;moins de 3000;entre 500 et 3000;7374;18;furniture/equipment;good
388;27;homme;2;propriétaire;plus de 30000;entre 500 et 3000;2326;15;business;good
389;27;femme;2;propriétaire;moins de 3000;;1449;9;business;good
390;30;homme;3;propriétaire;moins de 3000;;1820;18;car;good
391;19;femme;0;location;entre 10000 et 30000;entre 500 et 3000;983;12;furniture/equipment;good
392;39;homme;3;gratuit;moins de 3000;moins de 500;3249;36;car;good
393;31;femme;2;propriétaire;moins de 3000;moins de 500;1957;6;radio/TV;good
394;31;homme;3;propriétaire;moins de 3000;;2406;9;furniture/equipment;good
395;32;homme;2;location;entre 3000 et 10000;entre 500 et 3000;11760;39;education;good
396;55;femme;3;gratuit;moins de 3000;moins de 500;2578;12;furniture/equipment;good
397;46;homme;2;propriétaire;moins de 3000;moins de 500;2348;36;furniture/equipment;good
398;46;homme;2;location;moins de 3000;entre 500 et 3000;1223;12;car;bad
399;43;femme;0;propriétaire;entre 10000 et 30000;;1516;24;radio/TV;good
400;39;homme;2;propriétaire;moins de 3000;;1473;18;radio/TV;good
401;28;homme;2;propriétaire;;entre 500 et 3000;1887;18;business;good
402;27;homme;2;propriétaire;moins de 3000;;8648;24;business;bad
403;27;homme;0;propriétaire;moins de 3000;;802;14;car;good
404;43;homme;2;propriétaire;;entre 500 et 3000;2899;18;car;good
405;22;homme;2;propriétaire;moins de 3000;entre 500 et 3000;2039;24;radio/TV;bad
406;43;homme;2;propriétaire;;;2197;24;car;good
407;27;homme;2;propriétaire;moins de 3000;moins de 500;1053;15;radio/TV;good
408;26;homme;3;propriétaire;plus de 30000;;3235;24;radio/TV;good
409;28;homme;2;propriétaire;plus de 30000;plus de 3000;939;12;car;bad
410;20;femme;2;propriétaire;moins de 3000;entre 500 et 3000;1967;24;radio/TV;good
411;35;homme;3;propriétaire;moins de 3000;;7253;33;car;good
412;42;homme;3;propriétaire;moins de 3000;;2292;12;business;bad
413;40;homme;0;location;plus de 30000;;1597;10;car;good
414;35;femme;2;propriétaire;;moins de 500;1381;24;car;bad
415;35;homme;2;propriétaire;moins de 3000;;5842;36;car;good
416;33;homme;0;propriétaire;moins de 3000;moins de 500;2579;12;car;bad
417;23;femme;2;location;;moins de 500;8471;18;education;good
418;31;femme;3;propriétaire;plus de 30000;;2782;21;car;good
419;33;femme;2;propriétaire;;entre 500 et 3000;1042;18;car;bad
420;20;femme;2;location;entre 10000 et 30000;;3186;15;car;good
421;30;homme;2;propriétaire;;entre 500 et 3000;2028;12;car;good
422;47;homme;0;propriétaire;moins de 3000;entre 500 et 3000;958;12;car;good
423;34;homme;3;propriétaire;entre 3000 et 10000;;1591;21;furniture/equipment;good
424;25;femme;2;propriétaire;;entre 500 et 3000;2762;12;furniture/equipment;bad
425;21;homme;2;location;moins de 3000;entre 500 et 3000;2779;18;car;good
426;29;homme;2;propriétaire;moins de 3000;;2743;28;radio/TV;good
427;46;homme;2;propriétaire;entre 10000 et 30000;;1149;18;radio/TV;good
428;20;homme;2;propriétaire;moins de 3000;;1313;9;furniture/equipment;good
429;55;femme;0;gratuit;moins de 3000;moins de 500;1190;18;repairs;bad
430;74;homme;0;propriétaire;moins de 3000;;3448;5;business;good
431;29;homme;3;propriétaire;moins de 3000;entre 500 et 3000;11328;24;vacation/others;bad
432;36;homme;3;gratuit;moins de 3000;moins de 500;1872;6;furniture/equipment;good
433;33;homme;2;propriétaire;moins de 3000;;2058;24;repairs;good
434;25;homme;2;propriétaire;moins de 3000;moins de 500;2136;9;furniture/equipment;good
435;25;homme;2;propriétaire;;entre 500 et 3000;1484;12;radio/TV;bad
436;23;homme;0;location;plus de 30000;;660;6;repairs;good
437;37;femme;2;propriétaire;entre 10000 et 30000;;1287;24;car;good
438;65;homme;0;propriétaire;moins de 3000;moins de 500;3394;42;repairs;good
439;26;femme;0;propriétaire;moins de 3000;plus de 3000;609;12;business;bad
440;39;homme;3;propriétaire;moins de 3000;;1884;12;car;good
441;30;femme;2;propriétaire;moins de 3000;moins de 500;1620;12;furniture/equipment;good
442;29;homme;2;propriétaire;moins de 3000;entre 500 et 3000;2629;20;vacation/others;good
443;41;homme;0;propriétaire;moins de 3000;;719;12;education;bad
444;30;femme;3;propriétaire;moins de 3000;entre 500 et 3000;5096;48;furniture/equipment;bad
445;41;femme;0;location;;;1244;9;education;good
446;34;femme;2;propriétaire;moins de 3000;moins de 500;1842;36;car;bad
447;35;homme;2;propriétaire;moins de 3000;entre 500 et 3000;2576;7;radio/TV;good
448;55;femme;3;propriétaire;;plus de 3000;1424;12;furniture/equipment;good
449;61;homme;2;propriétaire;entre 10000 et 30000;entre 500 et 3000;1512;15;repairs;bad
450;30;homme;3;propriétaire;;;11054;36;car;good
451;29;femme;2;propriétaire;moins de 3000;;518;6;radio/TV;good
452;34;homme;2;propriétaire;moins de 3000;;2759;12;furniture/equipment;good
453;35;homme;3;propriétaire;moins de 3000;;2670;24;car;good
454;31;homme;2;propriétaire;moins de 3000;moins de 500;4817;24;car;bad
455;29;femme;3;propriétaire;moins de 3000;;2679;24;car;good
456;36;homme;2;location;moins de 3000;moins de 500;3905;11;car;good
457;35;homme;2;gratuit;moins de 3000;moins de 500;3386;12;car;bad
458;27;femme;2;propriétaire;moins de 3000;moins de 500;343;6;domestic appliances;good
459;32;homme;2;propriétaire;moins de 3000;;4594;18;radio/TV;good
460;37;homme;2;propriétaire;moins de 3000;moins de 500;3620;36;furniture/equipment;good
461;36;homme;2;propriétaire;moins de 3000;moins de 500;1721;15;car;good
462;34;femme;3;location;moins de 3000;entre 500 et 3000;3017;12;furniture/equipment;good
463;38;homme;2;propriétaire;;entre 500 et 3000;754;12;education;good
464;34;homme;2;propriétaire;moins de 3000;;1950;18;business;good
465;63;homme;2;propriétaire;moins de 3000;moins de 500;2924;24;car;good
466;29;femme;0;location;moins de 3000;moins de 500;1659;24;radio/TV;bad
467;32;homme;2;propriétaire;;;7238;48;radio/TV;good
468;26;femme;2;propriétaire;moins de 3000;;2764;33;business;good
469;35;homme;0;propriétaire;moins de 3000;;4679;24;car;good
470;22;homme;2;location;entre 3000 et 10000;entre 500 et 3000;3092;24;radio/TV;bad
471;23;femme;2;propriétaire;moins de 3000;moins de 500;448;6;education;bad
472;28;homme;0;propriétaire;moins de 3000;moins de 500;654;9;car;bad
473;36;homme;3;propriétaire;;;1238;6;education;good
474;33;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1245;18;radio/TV;bad
475;26;femme;2;location;moins de 3000;moins de 500;3114;18;furniture/equipment;bad
476;24;homme;2;propriétaire;plus de 30000;;2569;39;car;good
477;25;homme;2;propriétaire;moins de 3000;plus de 3000;5152;24;radio/TV;good
478;39;homme;0;propriétaire;entre 3000 et 10000;entre 500 et 3000;1037;12;business;good
479;44;homme;2;propriétaire;moins de 3000;moins de 500;1478;15;furniture/equipment;good
480;23;femme;0;propriétaire;moins de 3000;entre 500 et 3000;3573;12;radio/TV;good
481;26;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1201;24;car;good
482;57;femme;2;location;entre 10000 et 30000;moins de 500;3622;30;furniture/equipment;good
483;30;femme;2;propriétaire;entre 10000 et 30000;;960;15;furniture/equipment;good
484;44;homme;2;propriétaire;plus de 30000;;1163;12;car;good
485;47;homme;3;propriétaire;moins de 3000;entre 500 et 3000;1209;6;car;bad
486;52;homme;2;propriétaire;moins de 3000;;3077;12;radio/TV;good
487;62;femme;2;gratuit;moins de 3000;;3757;24;car;good
488;35;homme;0;location;entre 3000 et 10000;;1418;10;car;good
489;26;homme;2;location;moins de 3000;;3518;6;car;good
490;26;homme;2;propriétaire;moins de 3000;;1934;12;radio/TV;good
491;42;femme;3;gratuit;moins de 3000;entre 500 et 3000;8318;27;business;bad
492;27;femme;2;propriétaire;entre 3000 et 10000;;1237;6;radio/TV;good
493;38;homme;2;propriétaire;;entre 500 et 3000;368;6;radio/TV;good
494;39;homme;0;location;moins de 3000;moins de 500;2122;12;car;good
495;20;homme;2;propriétaire;;moins de 500;2996;24;furniture/equipment;bad
496;29;homme;3;location;entre 3000 et 10000;entre 500 et 3000;9034;36;furniture/equipment;bad
497;40;homme;2;propriétaire;moins de 3000;;1585;24;furniture/equipment;good
498;32;homme;0;propriétaire;moins de 3000;entre 500 et 3000;1301;18;radio/TV;good
499;28;homme;2;propriétaire;entre 3000 et 10000;plus de 3000;1323;6;car;good
500;27;femme;2;propriétaire;moins de 3000;moins de 500;3123;24;car;bad
501;42;homme;2;gratuit;moins de 3000;moins de 500;5493;36;car;good
502;49;homme;2;propriétaire;entre 3000 et 10000;plus de 3000;1126;9;radio/TV;good
503;38;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;1216;24;radio/TV;bad
504;24;femme;2;location;moins de 3000;moins de 500;1207;24;car;bad
505;27;homme;0;propriétaire;;;1309;10;car;bad
506;36;homme;2;propriétaire;plus de 30000;plus de 3000;2360;15;car;good
507;34;homme;3;propriétaire;entre 3000 et 10000;entre 500 et 3000;6850;15;car;bad
508;28;homme;2;propriétaire;moins de 3000;;1413;24;radio/TV;good
509;45;homme;3;propriétaire;entre 3000 et 10000;;8588;39;car;good
510;26;homme;2;propriétaire;moins de 3000;moins de 500;759;12;car;bad
511;32;homme;3;gratuit;moins de 3000;;4686;36;car;good
512;26;homme;2;location;moins de 3000;plus de 3000;2687;15;business;good
513;20;homme;2;location;moins de 3000;entre 500 et 3000;585;12;radio/TV;good
514;54;homme;2;propriétaire;;;2255;24;car;good
515;37;femme;2;propriétaire;moins de 3000;moins de 500;609;6;car;good
516;40;homme;0;propriétaire;moins de 3000;moins de 500;1361;6;car;good
517;23;femme;2;location;moins de 3000;;7127;36;furniture/equipment;bad
518;43;homme;2;propriétaire;entre 3000 et 10000;moins de 500;1203;6;car;good
519;36;homme;2;gratuit;;;700;6;radio/TV;good
520;44;homme;2;gratuit;moins de 3000;;5507;24;repairs;good
521;24;femme;2;propriétaire;moins de 3000;moins de 500;3190;18;radio/TV;bad
522;53;homme;2;gratuit;moins de 3000;moins de 500;7119;48;furniture/equipment;bad
523;23;femme;2;propriétaire;entre 3000 et 10000;;3488;24;car;good
524;26;femme;0;propriétaire;moins de 3000;entre 500 et 3000;1113;18;radio/TV;good
525;30;homme;2;propriétaire;moins de 3000;entre 500 et 3000;7966;26;car;good
526;31;femme;2;propriétaire;entre 3000 et 10000;;1532;15;education;good
527;42;homme;0;propriétaire;moins de 3000;;1503;4;radio/TV;good
528;31;homme;2;location;moins de 3000;moins de 500;2302;36;radio/TV;bad
529;41;homme;0;propriétaire;moins de 3000;moins de 500;662;6;car;good
530;32;homme;2;propriétaire;moins de 3000;entre 500 et 3000;2273;36;education;good
531;28;femme;2;location;entre 3000 et 10000;entre 500 et 3000;2631;15;car;bad
532;41;homme;2;location;moins de 3000;;1503;12;car;good
533;26;homme;2;propriétaire;entre 3000 et 10000;;1311;24;radio/TV;good
534;25;homme;2;propriétaire;;;3105;24;radio/TV;good
535;33;homme;2;location;moins de 3000;plus de 3000;2319;21;education;bad
536;75;femme;3;propriétaire;;moins de 500;1374;6;car;good
537;37;femme;2;propriétaire;moins de 3000;entre 500 et 3000;3612;18;furniture/equipment;good
538;42;homme;3;gratuit;moins de 3000;moins de 500;7763;48;car;bad
539;45;femme;0;propriétaire;moins de 3000;plus de 3000;3049;18;furniture/equipment;good
540;23;homme;2;location;moins de 3000;entre 500 et 3000;1534;12;radio/TV;bad
541;60;homme;2;gratuit;moins de 3000;;2032;24;car;good
542;31;homme;2;propriétaire;;moins de 500;6350;30;furniture/equipment;bad
543;34;homme;0;propriétaire;moins de 3000;plus de 3000;2864;18;furniture/equipment;bad
544;61;homme;0;propriétaire;moins de 3000;;1255;12;car;good
545;43;homme;2;gratuit;moins de 3000;moins de 500;1333;24;car;bad
546;37;femme;2;propriétaire;moins de 3000;;2022;24;car;good
547;32;homme;2;propriétaire;moins de 3000;;1552;24;radio/TV;good
548;24;femme;0;propriétaire;moins de 3000;moins de 500;626;12;radio/TV;bad
549;35;homme;2;gratuit;;;8858;48;car;good
550;23;femme;2;propriétaire;;;996;12;repairs;good
551;45;homme;0;propriétaire;plus de 30000;;1750;6;radio/TV;good
552;34;homme;2;propriétaire;moins de 3000;moins de 500;6999;48;radio/TV;bad
553;27;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;1995;12;car;good
554;67;femme;3;propriétaire;moins de 3000;entre 500 et 3000;1199;9;education;good
555;22;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1331;12;radio/TV;bad
556;28;femme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;2278;18;car;bad
557;29;femme;2;propriétaire;;;5003;21;car;bad
558;27;homme;2;propriétaire;moins de 3000;moins de 500;3552;24;furniture/equipment;bad
559;31;homme;0;propriétaire;moins de 3000;entre 500 et 3000;1928;18;furniture/equipment;bad
560;49;homme;2;gratuit;;moins de 500;2964;24;car;good
561;24;homme;0;location;moins de 3000;moins de 500;1546;24;radio/TV;bad
562;29;femme;2;propriétaire;moins de 3000;plus de 3000;683;6;radio/TV;good
563;37;homme;2;gratuit;;entre 500 et 3000;12389;36;car;bad
564;37;homme;3;propriétaire;;entre 500 et 3000;4712;24;business;good
565;23;femme;2;location;entre 3000 et 10000;entre 500 et 3000;1553;24;radio/TV;good
566;36;homme;2;propriétaire;moins de 3000;moins de 500;1372;12;car;bad
567;34;homme;2;propriétaire;entre 10000 et 30000;;2578;24;radio/TV;good
568;41;homme;2;propriétaire;;entre 500 et 3000;3979;48;radio/TV;good
569;31;femme;2;propriétaire;moins de 3000;moins de 500;6758;48;radio/TV;bad
570;23;femme;0;location;moins de 3000;moins de 500;3234;24;furniture/equipment;bad
571;38;homme;2;propriétaire;moins de 3000;;5954;30;radio/TV;good
572;26;femme;3;location;;;5433;24;car;good
573;22;femme;0;propriétaire;moins de 3000;moins de 500;806;15;business;good
574;27;homme;0;propriétaire;moins de 3000;entre 500 et 3000;1082;9;radio/TV;good
575;24;femme;2;propriétaire;moins de 3000;;2788;15;furniture/equipment;good
576;27;femme;2;propriétaire;moins de 3000;entre 500 et 3000;2930;12;radio/TV;good
577;33;femme;2;propriétaire;;;1927;24;education;good
578;27;homme;2;propriétaire;moins de 3000;entre 500 et 3000;2820;36;car;bad
579;27;homme;0;propriétaire;moins de 3000;;937;24;education;good
580;30;homme;2;propriétaire;moins de 3000;entre 500 et 3000;1056;18;car;bad
581;49;homme;0;propriétaire;moins de 3000;entre 500 et 3000;3124;12;car;good
582;26;femme;2;location;moins de 3000;;1388;9;furniture/equipment;good
583;33;homme;0;location;moins de 3000;entre 500 et 3000;2384;36;repairs;bad
584;52;femme;3;gratuit;;;2133;12;car;good
585;20;femme;2;location;moins de 3000;moins de 500;2039;18;furniture/equipment;bad
586;36;homme;2;location;moins de 3000;moins de 500;2799;9;car;good
587;21;homme;0;propriétaire;moins de 3000;moins de 500;1289;12;furniture/equipment;good
588;47;homme;0;propriétaire;moins de 3000;moins de 500;1217;18;domestic appliances;bad
589;60;homme;2;propriétaire;moins de 3000;moins de 500;2246;12;furniture/equipment;bad
590;58;femme;0;propriétaire;moins de 3000;moins de 500;385;12;radio/TV;good
591;42;femme;2;location;;entre 500 et 3000;1965;24;car;good
592;36;femme;0;propriétaire;entre 10000 et 30000;;1572;21;business;good
593;20;femme;0;location;moins de 3000;entre 500 et 3000;2718;24;car;bad
594;40;homme;3;propriétaire;;moins de 500;1358;24;vacation/others;bad
595;32;femme;0;propriétaire;entre 3000 et 10000;entre 500 et 3000;931;6;car;bad
596;23;femme;2;location;moins de 3000;moins de 500;1442;24;car;bad
597;36;homme;0;propriétaire;moins de 3000;entre 500 et 3000;4241;24;business;bad
598;31;homme;2;propriétaire;moins de 3000;;2775;18;car;bad
599;32;homme;2;gratuit;moins de 3000;;3863;24;business;good
600;45;femme;2;propriétaire;moins de 3000;entre 500 et 3000;2329;7;radio/TV;good
601;30;femme;2;propriétaire;moins de 3000;entre 500 et 3000;918;9;furniture/equipment;bad
602;34;femme;0;gratuit;moins de 3000;entre 500 et 3000;1837;24;education;bad
603;28;femme;3;propriétaire;moins de 3000;;3349;36;furniture/equipment;bad
604;23;femme;2;propriétaire;moins de 3000;plus de 3000;1275;10;furniture/equipment;good
605;22;homme;2;propriétaire;plus de 30000;moins de 500;2828;24;furniture/equipment;good
606;74;homme;3;propriétaire;moins de 3000;;4526;24;business;good
607;50;femme;2;gratuit;entre 3000 et 10000;entre 500 et 3000;2671;36;radio/TV;bad
608;33;homme;2;propriétaire;moins de 3000;;2051;18;radio/TV;good
609;45;homme;2;gratuit;;;1300;15;car;good
610;22;femme;2;propriétaire;entre 3000 et 10000;moins de 500;741;12;domestic appliances;bad
611;48;femme;0;gratuit;entre 3000 et 10000;plus de 3000;1240;10;car;bad
612;29;femme;2;propriétaire;entre 10000 et 30000;moins de 500;3357;21;radio/TV;good
613;22;femme;2;location;moins de 3000;moins de 500;3632;24;car;good
614;22;femme;2;propriétaire;moins de 3000;;1808;18;furniture/equipment;bad
615;48;homme;3;propriétaire;;entre 500 et 3000;12204;48;business;good
616;27;homme;3;gratuit;;entre 500 et 3000;9157;60;radio/TV;good
617;37;homme;2;location;moins de 3000;moins de 500;3676;6;car;good
618;21;femme;2;location;entre 3000 et 10000;entre 500 et 3000;3441;30;furniture/equipment;bad
619;49;homme;0;propriétaire;moins de 3000;;640;12;car;good
620;27;homme;2;propriétaire;moins de 3000;entre 500 et 3000;3652;21;business;good
621;32;homme;2;propriétaire;moins de 3000;;1530;18;car;bad
622;38;homme;2;propriétaire;;;3914;48;business;bad
623;22;femme;2;location;moins de 3000;moins de 500;1858;12;furniture/equipment;good
624;65;homme;2;gratuit;moins de 3000;moins de 500;2600;18;radio/TV;bad
625;35;homme;2;propriétaire;;;1979;15;radio/TV;good
626;41;homme;2;propriétaire;moins de 3000;plus de 3000;2116;6;furniture/equipment;good
627;29;homme;2;propriétaire;entre 3000 et 10000;entre 500 et 3000;1437;9;car;bad
628;36;homme;2;propriétaire;plus de 30000;;4042;42;furniture/equipment;good
629;64;homme;0;propriétaire;;;3832;9;education;good
630;28;femme;2;propriétaire;moins de 3000;moins de 500;3660;24;radio/TV;good
631;44;homme;2;propriétaire;moins de 3000;moins de 500;1553;18;furniture/equipment;bad
632;23;homme;2;propriétaire;;entre 500 et 3000;1444;15;radio/TV;good
633;19;femme;2;location;moins de 3000;;1980;9;furniture/equipment;bad
634;25;femme;0;propriétaire;moins de 3000;entre 500 et 3000;1355;24;car;bad
635;47;homme;2;propriétaire;moins de 3000;;1393;12;education;good
636;28;femme;2;propriétaire;plus de 30000;;1376;24;radio/TV;good
637;21;homme;2;propriétaire;moins de 3000;;15653;60;radio/TV;good
638;34;femme;2;propriétaire;moins de 3000;;1493;12;radio/TV;good
639;26;homme;2;propriétaire;moins de 3000;moins de 500;4370;42;radio/TV;bad
640;27;femme;0;propriétaire;moins de 3000;moins de 500;750;18;education;bad
641;38;homme;0;propriétaire;moins de 3000;entre 500 et 3000;1308;15;repairs;good
642;40;homme;3;propriétaire;entre 3000 et 10000;;4623;15;education;bad
643;33;homme;2;propriétaire;moins de 3000;;1851;24;radio/TV;good
644;32;homme;3;propriétaire;moins de 3000;moins de 500;1880;18;radio/TV;good
645;27;homme;2;location;;;7980;36;business;bad
646;32;homme;2;propriétaire;moins de 3000;moins de 500;4583;30;furniture/equipment;good
647;26;femme;2;propriétaire;plus de 30000;;1386;12;car;bad
648;38;homme;2;gratuit;moins de 3000;plus de 3000;947;24;car;bad
649;40;homme;0;location;moins de 3000;moins de 500;684;12;education;bad
650;50;homme;3;gratuit;moins de 3000;moins de 500;7476;48;education;good
651;37;homme;0;propriétaire;moins de 3000;entre 500 et 3000;1922;12;furniture/equipment;bad
652;45;homme;2;propriétaire;moins de 3000;moins de 500;2303;24;car;bad
653;42;homme;3;propriétaire;entre 3000 et 10000;entre 500 et 3000;8086;36;car;bad
654;35;homme;2;propriétaire;moins de 3000;;2346;24;car;good
655;22;homme;2;gratuit;moins de 3000;moins de 500;3973;14;car;good
656;41;homme;0;propriétaire;moins de 3000;entre 500 et 3000;888;12;car;bad
657;37;homme;2;propriétaire;;;10222;48;radio/TV;good
658;28;femme;2;propriétaire;moins de 3000;entre 500 et 3000;4221;30;business;good
659;41;homme;2;propriétaire;moins de 3000;entre 500 et 3000;6361;18;furniture/equipment;good
660;23;homme;2;location;moins de 3000;plus de 3000;1297;12;radio/TV;good
